Memory Index,Q0.7 Signed Binary Value,X Axis Value,Sigmoid Value (Real),Actual Stored LUT Decimal Value (Q0.7),Actual Stored LUT Binary Value,Absolute Error,MAE
86,11010110,-1.952941176,0.124233007,0.125000000,00010000,0.000766993,
87,11010111,-1.905882353,0.129444155,0.132812500,00010001,0.003368345,
88,11011000,-1.858823529,0.134840238,0.132812500,00010001,0.002027738,
89,11011001,-1.811764706,0.140424980,0.140625000,00010010,0.000200020,
90,11011010,-1.764705882,0.146201940,0.148437500,00010011,0.002235560,
91,11011011,-1.717647059,0.152174486,0.148437500,00010011,0.003736986,
92,11011100,-1.670588235,0.158345768,0.156250000,00010100,0.002095768,
93,11011101,-1.623529412,0.164718696,0.164062500,00010101,0.000656196,
94,11011110,-1.576470588,0.171295914,0.171875000,00010110,0.000579086,
95,11011111,-1.529411765,0.178079768,0.179687500,00010111,0.001607732,
96,11100000,-1.482352941,0.185072284,0.187500000,00011000,0.002427716,
97,11100001,-1.435294118,0.192275139,0.195312500,00011001,0.003037361,
98,11100010,-1.388235294,0.199689632,0.203125000,00011010,0.003435368,
99,11100011,-1.341176471,0.207316655,0.210937500,00011011,0.003620845,
100,11100100,-1.294117647,0.215156672,0.218750000,00011100,0.003593328,
101,11100101,-1.247058824,0.223209686,0.226562500,00011101,0.003352814,
102,11100110,-1.200000000,0.231475217,0.234375000,00011110,0.002899783,
103,11100111,-1.152941176,0.239952275,0.242187500,00011111,0.002235225,
104,11101000,-1.105882353,0.248639342,0.250000000,00100000,0.001360658,
105,11101001,-1.058823529,0.257534344,0.257812500,00100001,0.000278156,
106,11101010,-1.011764706,0.266634637,0.265625000,00100010,0.001009637,
107,11101011,-0.964705882,0.275936989,0.273437500,00100011,0.002499489,
108,11101100,-0.917647059,0.285437565,0.289062500,00100101,0.003624935,
109,11101101,-0.870588235,0.295131917,0.296875000,00100110,0.001743083,
110,11101110,-0.823529412,0.305014978,0.304687500,00100111,0.000327478,
111,11101111,-0.776470588,0.315081053,0.312500000,00101000,0.002581053,
112,11110000,-0.729411765,0.325323825,0.328125000,00101010,0.002801175,
113,11110001,-0.682352941,0.335736353,0.335937500,00101011,0.000201147,
114,11110010,-0.635294118,0.346311084,0.343750000,00101100,0.002561084,
115,11110011,-0.588235294,0.357039862,0.359375000,00101110,0.002335138,
116,11110100,-0.541176471,0.367913948,0.367187500,00101111,0.000726448,
117,11110101,-0.494117647,0.378924036,0.382812500,00110001,0.003888464,
118,11110110,-0.447058824,0.390060284,0.390625000,00110010,0.000564716,
119,11110111,-0.400000000,0.401312340,0.398437500,00110011,0.002874840,
120,11111000,-0.352941176,0.412669376,0.414062500,00110101,0.001393124,
121,11111001,-0.305882353,0.424120127,0.421875000,00110110,0.002245127,
122,11111010,-0.258823529,0.435652933,0.437500000,00111000,0.001847067,
123,11111011,-0.211764706,0.447255783,0.445312500,00111001,0.001943283,
124,11111100,-0.164705882,0.458916364,0.460937500,00111011,0.002021136,
125,11111101,-0.117647059,0.470622112,0.468750000,00111100,0.001872112,
126,11111110,-0.070588235,0.482360265,0.484375000,00111110,0.002014735,
127,11111111,-0.023529412,0.494117918,0.492187500,00111111,0.001930418,
128,00000000,0.023529412,0.505882082,0.507812500,01000001,0.001930418,
129,00000001,0.070588235,0.517639735,0.515625000,01000010,0.002014735,
130,00000010,0.117647059,0.529377888,0.531250000,01000100,0.001872112,
131,00000011,0.164705882,0.541083636,0.539062500,01000101,0.002021136,
132,00000100,0.211764706,0.552744217,0.554687500,01000111,0.001943283,
133,00000101,0.258823529,0.564347067,0.562500000,01001000,0.001847067,
134,00000110,0.305882353,0.575879873,0.578125000,01001010,0.002245127,
135,00000111,0.352941176,0.587330624,0.585937500,01001011,0.001393124,
136,00001000,0.400000000,0.598687660,0.601562500,01001101,0.002874840,
137,00001001,0.447058824,0.609939716,0.609375000,01001110,0.000564716,
138,00001010,0.494117647,0.621075964,0.617187500,01001111,0.003888464,
139,00001011,0.541176471,0.632086052,0.632812500,01010001,0.000726448,
140,00001100,0.588235294,0.642960138,0.640625000,01010010,0.002335138,
141,00001101,0.635294118,0.653688916,0.656250000,01010100,0.002561084,
142,00001110,0.682352941,0.664263647,0.664062500,01010101,0.000201147,
143,00001111,0.729411765,0.674676175,0.671875000,01010110,0.002801175,
144,00010000,0.776470588,0.684918947,0.687500000,01011000,0.002581053,
145,00010001,0.823529412,0.694985022,0.695312500,01011001,0.000327478,
146,00010010,0.870588235,0.704868083,0.703125000,01011010,0.001743083,
147,00010011,0.917647059,0.714562435,0.710937500,01011011,0.003624935,
148,00010100,0.964705882,0.724063011,0.726562500,01011101,0.002499489,
149,00010101,1.011764706,0.733365363,0.734375000,01011110,0.001009637,
150,00010110,1.058823529,0.742465656,0.742187500,01011111,0.000278156,
151,00010111,1.105882353,0.751360658,0.750000000,01100000,0.001360658,
152,00011000,1.152941176,0.760047725,0.757812500,01100001,0.002235225,
153,00011001,1.200000000,0.768524783,0.765625000,01100010,0.002899783,
154,00011010,1.247058824,0.776790314,0.773437500,01100011,0.003352814,
155,00011011,1.294117647,0.784843328,0.781250000,01100100,0.003593328,
156,00011100,1.341176471,0.792683345,0.789062500,01100101,0.003620845,
157,00011101,1.388235294,0.800310368,0.796875000,01100110,0.003435368,
158,00011110,1.435294118,0.807724861,0.804687500,01100111,0.003037361,
159,00011111,1.482352941,0.814927716,0.812500000,01101000,0.002427716,
160,00100000,1.529411765,0.821920232,0.820312500,01101001,0.001607732,
161,00100001,1.576470588,0.828704086,0.828125000,01101010,0.000579086,
162,00100010,1.623529412,0.835281304,0.835937500,01101011,0.000656196,
163,00100011,1.670588235,0.841654232,0.843750000,01101100,0.002095768,
164,00100100,1.717647059,0.847825514,0.851562500,01101101,0.003736986,
165,00100101,1.764705882,0.853798060,0.851562500,01101101,0.002235560,
166,00100110,1.811764706,0.859575020,0.859375000,01101110,0.000200020,
167,00100111,1.858823529,0.865159762,0.867187500,01101111,0.002027738,
168,00101000,1.905882353,0.870555845,0.867187500,01101111,0.003368345,
169,00101001,1.952941176,0.875766993,0.875000000,01110000,0.000766993,
170,00101010,2.000000000,0.880797078,0.882812500,01110001,0.002015422,
171,00101011,2.047058824,0.885650092,0.882812500,01110001,0.002837592,
172,00101100,2.094117647,0.890330129,0.890625000,01110010,0.000294871,
